stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
BID,2021-12-29,35.200000000000000000,1581600,55.820000000000000000,21400,0.75,,,1435,2313300,1278,3086300
BID,2021-12-28,35.200000000000000000,1359900,47.840000000000000000,20100,0.71,,,1625,2026700,1221,2884600
BID,2021-12-27,35.300000000000000000,1202100,42.340000000000000000,10700,0.38,,,1183,1970500,939,2230600
BID,2022-06-23,31.000000000000000000,422300,12.910000000000000000,300,0.01,,,780,896600,761,852000
BID,2022-06-22,30.500000000000000000,1532700,46.920000000000000000,-94500,-2.88,,,1572,2400900,971,2278900
BID,2022-06-21,30.300000000000000000,1403700,41.960000000000000000,296500,8.98,,,1268,2279200,1133,2060200
BID,2022-06-20,29.500000000000000000,972600,29.730000000000000000,-120700,-3.69,,,1110,1190600,962,1766700
BID,2022-06-17,31.600000000000000000,1218700,38.560000000000000000,-113000,-3.57,,,1920,2054700,1124,2152900
BID,2022-06-16,32.300000000000000000,1293500,41.980000000000000000,553900,17.89,,,910,2062400,1100,2246400
BID,2022-06-15,32.000000000000000000,1366100,43.400000000000000000,400500,12.82,,,1575,2169900,863,2101000
BID,2022-06-14,32.300000000000000000,1178900,37.970000000000000000,638700,20.63,,,1293,2504400,922,1991700
BID,2022-06-13,31.950000000000000000,1446900,47.270000000000000000,70200,2.24,,,1859,2129300,1158,2359600
BID,2022-06-10,33.800000000000000000,786000,26.740000000000000000,5000,0.17,,,1190,1517000,845,1602900
BID,2022-06-07,33.600000000000000000,1172500,39.290000000000000000,-78200,-2.63,,,1525,1842800,1043,2158200
BID,2022-06-06,34.200000000000000000,918800,31.500000000000000000,-17500,-0.56,,,1094,1772200,1050,1665500
BID,2022-06-03,34.350000000000000000,570700,19.640000000000000000,-2500,-0.09,,,926,1070400,716,1180600
BID,2022-06-02,34.700000000000000000,905200,31.700000000000000000,-31600,-1.10,,,966,1469600,980,1848300
BID,2022-06-01,35.150000000000000000,1071100,37.680000000000000000,12200,0.43,,,1030,1894300,1106,2356000
BID,2022-05-31,35.300000000000000000,1027300,36.260000000000000000,-54900,-1.94,,,1210,1800000,933,2498400
BID,2022-05-30,35.750000000000000000,1088100,38.690000000000000000,13500,0.48,,,938,1749500,1501,2676300
BID,2022-05-27,35.300000000000000000,891000,31.320000000000000000,25400,0.90,,,1024,1722600,1198,2036900
BID,2022-04-26,36.900000000000000000,1857800,67.410000000000000000,320200,11.61,,,0,0,0,0
BID,2022-04-25,35.850000000000000000,2945400,108.230000000000000000,290800,10.79,,,2940,3689500,1677,5107900
BID,2022-04-22,38.500000000000000000,2628900,101.510000000000000000,-184200,-6.96,,,2462,4120700,1694,4351500
BID,2022-04-21,38.500000000000000000,2094100,79.900000000000000000,181700,6.93,,,1925,3910700,1846,3700000
BID,2022-04-20,37.950000000000000000,1458300,55.650000000000000000,58200,2.19,,,1620,2448000,1563,2800600
BID,2022-04-19,37.950000000000000000,2322500,89.210000000000000000,724000,27.95,,,,,,
BID,2022-04-18,37.950000000000000000,2820600,108.660000000000000000,-120300,-4.67,,,2892,4678600,1831,4811000
BID,2022-04-15,39.300000000000000000,2508700,100.510000000000000000,-57300,-1.99,,,2405,3797400,1759,4341600
