|industry_group|industry_code|industry_name
382|N|7911|Đại lý du lịch
383|N|7912|Điều hành tua du lịch
384|N|7990|Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch
385|N|8010|Hoạt động bảo vệ tư nhân
386|N|8020|Dịch vụ hệ thống bảo đảm an toàn
387|N|8030|Dịch vụ điều tra
388|N|8110|Dịch vụ hỗ trợ tổng hợp
389|N|8121|Vệ sinh chung nhà cửa
390|N|8129|Vệ sinh công nghiệp và các công trình chuyên biệt
391|N|8130|Dịch vụ chăm sóc và duy trì cảnh quan
392|N|8211|Dịch vụ hành chính văn phòng tổng hợp
393|N|8219|Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác
394|N|8220|Hoạt động dịch vụ liên quan đến các cuộc gọi
395|N|8230|Tổ chức giới thiệu và xúc tiến thương mại
396|N|8291|Hoạt động dịch vụ hỗ trợ thanh toán, tín dụng
397|N|8292|Dịch vụ đóng gói
398|N|8299|Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu
399|O|8411|Hoạt động của Đảng cộng sản, tổ chức chính trị – xã hội, hoạt động quản lý nhà nước nói chung và kinh tế tổng hợp
400|O|8412|Hoạt động quản lý nhà nước trong các lĩnh vực y tế, giáo dục, văn hóa và các dịch vụ xã hội khác (trừ bảo đảm xã hội bắt buộc)
401|O|8413|Hoạt động quản lý nhà nước trong các lĩnh vực kinh tế chuyên ngành
402|O|8421|Hoạt động đối ngoại
403|O|8422|Hoạt động quốc phòng
404|O|8423|Hoạt động an ninh, trật tự an toàn xã hội
405|O|8430|Hoạt động bảo đảm xã hội bắt buộc
406|P|8511|Giáo dục nhà trẻ
407|P|8512|Giáo dục mẫu giáo
408|P|8521|Giáo dục tiểu học
409|P|8522|Giáo dục trung học cơ sở
410|P|8523|Giáo dục trung học phổ thông
411|P|8531|Đào tạo sơ cấp
412|P|8532|Đào tạo trung cấp
413|P|8533|Đào tạo cao đẳng
414|P|8541|Đào tạo đại học
415|P|8542|Đào tạo thạc sỹ
416|P|8543|Đào tạo tiến sỹ
417|P|8551|Giáo dục thể thao và giải trí
418|P|8552|Giáo dục văn hóa nghệ thuật
419|P|8559|Giáo dục khác chưa được phân vào đâu
420|P|8560|Dịch vụ hỗ trợ giáo dục
421|Q|8610|Hoạt động của các bệnh viện, trạm y tế
422|Q|8620|Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa
423|Q|8691|Hoạt động y tế dự phòng
424|Q|8692|Hoạt động của hệ thống cơ sở chỉnh hình, phục hồi chức năng
425|Q|8699|Hoạt động y tế khác chưa được phân vào đâu
426|Q|8710|Hoạt động của các cơ sở nuôi dưỡng, điều dưỡng
427|Q|8720|Hoạt động chăm sóc sức khoẻ người bị thiểu năng, tâm thần và người nghiện
428|Q|8730|Hoạt động chăm sóc sức khoẻ người có công, người già và người khuyết tật không có khả năng tự chăm sóc
429|Q|8790|Hoạt động chăm sóc tập trung khác
430|Q|8810|Hoạt động trợ giúp xã hội không tập trung đối với người có công, thương bệnh binh, người già và người khuyết tật
431|Q|8890|Hoạt động trợ giúp xã hội không tập trung khác
432|R|9000|Hoạt động sáng tác, nghệ thuật và giải trí
433|R|9101|Hoạt động thư viện và lưu trữ
434|R|9102|Hoạt động bảo tồn, bảo tàng
435|R|9103|Hoạt động của các vườn bách thảo, bách thú và khu bảo tồn tự nhiên
436|R|9200|Hoạt động xổ số, cá cược và đánh bạc
437|R|9311|Hoạt động của các cơ sở thể thao
438|R|9312|Hoạt động của các câu lạc bộ thể thao
439|R|9319|Hoạt động thể thao khác
440|R|9321|Hoạt động của các công viên vui chơi và công viên theo chủ đề
